"ProductURL","Reviewer","Review","Date","Verified"
"https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo0NDYxNTQ5ODcyMTY3OTU4OjE3MzQ0NDk1NzE6c3BfYXRmOjMwMDQ2NTAwMDUzNzYwMjo6MDo6&url=%2F100-Pure-European-Linen-Sheet%2Fdp%2FB0D9L1JD18%2Fref%3Dsr_1_1_sspa%3F_encoding%3DUTF8%26content-id%3Damzn1.sym.83009b1f-702c-4be7-814b-0240b8f687d2%26dib%3DeyJ2IjoiMSJ9.syMLF-qdV3Kcl72cRgLPjrX6ctuQGN7y_fJZYl7GVbOdkZ3njvYqj8boeLUsbyIySdxaD7KXn3DpaoB2A-jsJD6jEPSnlYCHl39A2INOBCpJCQl86erMEEdU01RR0ifPjSQ-tkr-Txi33MBS6LdtTy2gOuiftYlO5kkUyjcx_8YWneuwU_P84oLCy3uPWLPzdr3AL7WucJO4a1PBBQRJcHwNULlyo5GjdmmfGnRSg6DmEZ1wgatpYt-3nrIOMt7Ja1lxJYr4RHMHijUCFy_WnO_gV1GsjqwhgX0FdiIAasM.Lpknd2GlHUJ5jj0po4Nryrf59aCwwqtMGH6WTBZtSZw%26dib_tag%3Dse%26keywords%3Dbedding%26pd_rd_r%3D87aac9cd-a5f0-4bfb-a6e4-9a4da9ff3166%26pd_rd_w%3DNw6WR%26pd_rd_wg%3DAzrBz%26pf_rd_p%3D83009b1f-702c-4be7-814b-0240b8f687d2%26pf_rd_r%3D4P9Y4JVM26R69CW85MJ1%26qid%3D1734449571%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1","Amazon Customer","These linen sheets are great. Cotton or linen are my favorite fabric for bedding so these fit my taste. They shrink a bit the first time washing them but they still fit the bed fine. A bit of shrinkage is normal and expected. (Linen shouldn't be dried on heat settings. These can be put on the clothesline to dry or spread out on the bed.) The stitching is good and the elastic on the fitted sheet is fully encased. They breathe which keeps them very comfortable feeling rather than that yuck feel from polyester sheets. This wonderful linen fabric color is rich and even, giving my bedroom a bold, warm, and cozy look.","Reviewed in the United States on December 10, 2024",NA
"https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo0NDYxNTQ5ODcyMTY3OTU4OjE3MzQ0NDk1NzE6c3BfYXRmOjMwMDQ2NTAwMDUzNzYwMjo6MDo6&url=%2F100-Pure-European-Linen-Sheet%2Fdp%2FB0D9L1JD18%2Fref%3Dsr_1_1_sspa%3F_encoding%3DUTF8%26content-id%3Damzn1.sym.83009b1f-702c-4be7-814b-0240b8f687d2%26dib%3DeyJ2IjoiMSJ9.syMLF-qdV3Kcl72cRgLPjrX6ctuQGN7y_fJZYl7GVbOdkZ3njvYqj8boeLUsbyIySdxaD7KXn3DpaoB2A-jsJD6jEPSnlYCHl39A2INOBCpJCQl86erMEEdU01RR0ifPjSQ-tkr-Txi33MBS6LdtTy2gOuiftYlO5kkUyjcx_8YWneuwU_P84oLCy3uPWLPzdr3AL7WucJO4a1PBBQRJcHwNULlyo5GjdmmfGnRSg6DmEZ1wgatpYt-3nrIOMt7Ja1lxJYr4RHMHijUCFy_WnO_gV1GsjqwhgX0FdiIAasM.Lpknd2GlHUJ5jj0po4Nryrf59aCwwqtMGH6WTBZtSZw%26dib_tag%3Dse%26keywords%3Dbedding%26pd_rd_r%3D87aac9cd-a5f0-4bfb-a6e4-9a4da9ff3166%26pd_rd_w%3DNw6WR%26pd_rd_wg%3DAzrBz%26pf_rd_p%3D83009b1f-702c-4be7-814b-0240b8f687d2%26pf_rd_r%3D4P9Y4JVM26R69CW85MJ1%26qid%3D1734449571%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1","Amazon Customer","I love my new 4-piece linen bedding set! This set includes a fully elasticized fitted sheet (16"" deep pocket, 76"" x 57""), a flat sheet (102"" x 90""), and two standard pillowcases (28"" x 20""), all made from 100% Certified European Flax Linen and manufactured in Pakistan. I was initially concerned because I thought I had ordered a Full size, but the Queen size fits perfectly, especially with my mattress topper.What really stands out to me is the quality. The linen feels durable and has a beautiful, natural texture. It’s not as smooth as cotton, but it has its own charm, and it keeps me warm in the winter without being too heavy. I also love that it's free from harmful chemicals or dyes, which makes it even more comfortable to sleep in.The slate grey color is gorgeous and matches my bedding perfectly, adding a touch of elegance to my bedroom. I was pleasantly surprised by how easy it is to care for—just a quick wash and a steam iron, and it looks great again. I can tell this set is built to last, and I expect it to hold up well over time.Overall, I am extremely happy with this purchase. It’s a durable, eco-friendly bedding set that’s both practical and beautiful. Plus, knowing it's made in Pakistan adds a layer of appreciation for its craftsmanship. Highly recommend it!","Reviewed in the United States on November 9, 2024",NA
"https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo0NDYxNTQ5ODcyMTY3OTU4OjE3MzQ0NDk1NzE6c3BfYXRmOjMwMDQ2NTAwMDUzNzYwMjo6MDo6&url=%2F100-Pure-European-Linen-Sheet%2Fdp%2FB0D9L1JD18%2Fref%3Dsr_1_1_sspa%3F_encoding%3DUTF8%26content-id%3Damzn1.sym.83009b1f-702c-4be7-814b-0240b8f687d2%26dib%3DeyJ2IjoiMSJ9.syMLF-qdV3Kcl72cRgLPjrX6ctuQGN7y_fJZYl7GVbOdkZ3njvYqj8boeLUsbyIySdxaD7KXn3DpaoB2A-jsJD6jEPSnlYCHl39A2INOBCpJCQl86erMEEdU01RR0ifPjSQ-tkr-Txi33MBS6LdtTy2gOuiftYlO5kkUyjcx_8YWneuwU_P84oLCy3uPWLPzdr3AL7WucJO4a1PBBQRJcHwNULlyo5GjdmmfGnRSg6DmEZ1wgatpYt-3nrIOMt7Ja1lxJYr4RHMHijUCFy_WnO_gV1GsjqwhgX0FdiIAasM.Lpknd2GlHUJ5jj0po4Nryrf59aCwwqtMGH6WTBZtSZw%26dib_tag%3Dse%26keywords%3Dbedding%26pd_rd_r%3D87aac9cd-a5f0-4bfb-a6e4-9a4da9ff3166%26pd_rd_w%3DNw6WR%26pd_rd_wg%3DAzrBz%26pf_rd_p%3D83009b1f-702c-4be7-814b-0240b8f687d2%26pf_rd_r%3D4P9Y4JVM26R69CW85MJ1%26qid%3D1734449571%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1","Schnoodlydabobbob","These sheets are interesting. Yes, they feel sturdy, rich, and of high quality fabric. I prewashed them like it told me to, which did shrink them up a bit (as it should). I hung them to dry and they dried nicely. The fitted sheets are snug but I like that they don't gap and sag. The flat sheet is a great fit. The pillow cases nicely fit a standard pillow. The sheets look amazing on the bed, with a rich green color and great textural appeal. They are warm without being too stuffy. But, they are rough. I rewashed them, thinking they just needed to soften up a bit. But they are still very rough. They aren't impossible to sleep on, but they aren't soft. I suppose it's a matter of knowing what you look for in a sheet set.","Reviewed in the United States on December 2, 2024",NA
"https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo0NDYxNTQ5ODcyMTY3OTU4OjE3MzQ0NDk1NzE6c3BfYXRmOjMwMDQ2NTAwMDUzNzYwMjo6MDo6&url=%2F100-Pure-European-Linen-Sheet%2Fdp%2FB0D9L1JD18%2Fref%3Dsr_1_1_sspa%3F_encoding%3DUTF8%26content-id%3Damzn1.sym.83009b1f-702c-4be7-814b-0240b8f687d2%26dib%3DeyJ2IjoiMSJ9.syMLF-qdV3Kcl72cRgLPjrX6ctuQGN7y_fJZYl7GVbOdkZ3njvYqj8boeLUsbyIySdxaD7KXn3DpaoB2A-jsJD6jEPSnlYCHl39A2INOBCpJCQl86erMEEdU01RR0ifPjSQ-tkr-Txi33MBS6LdtTy2gOuiftYlO5kkUyjcx_8YWneuwU_P84oLCy3uPWLPzdr3AL7WucJO4a1PBBQRJcHwNULlyo5GjdmmfGnRSg6DmEZ1wgatpYt-3nrIOMt7Ja1lxJYr4RHMHijUCFy_WnO_gV1GsjqwhgX0FdiIAasM.Lpknd2GlHUJ5jj0po4Nryrf59aCwwqtMGH6WTBZtSZw%26dib_tag%3Dse%26keywords%3Dbedding%26pd_rd_r%3D87aac9cd-a5f0-4bfb-a6e4-9a4da9ff3166%26pd_rd_w%3DNw6WR%26pd_rd_wg%3DAzrBz%26pf_rd_p%3D83009b1f-702c-4be7-814b-0240b8f687d2%26pf_rd_r%3D4P9Y4JVM26R69CW85MJ1%26qid%3D1734449571%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1","Schnoodlydabobbob","I have a few sets of sheets that I rotate weekly but I am low key obsessed with these. I need more. They are breathable and so comfortable. The linen really does make a huge difference. High quality fabric results in high quality sleep. You need these.","Reviewed in the United States on December 13, 2024",NA
"https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo0NDYxNTQ5ODcyMTY3OTU4OjE3MzQ0NDk1NzE6c3BfYXRmOjMwMDQ2NTAwMDUzNzYwMjo6MDo6&url=%2F100-Pure-European-Linen-Sheet%2Fdp%2FB0D9L1JD18%2Fref%3Dsr_1_1_sspa%3F_encoding%3DUTF8%26content-id%3Damzn1.sym.83009b1f-702c-4be7-814b-0240b8f687d2%26dib%3DeyJ2IjoiMSJ9.syMLF-qdV3Kcl72cRgLPjrX6ctuQGN7y_fJZYl7GVbOdkZ3njvYqj8boeLUsbyIySdxaD7KXn3DpaoB2A-jsJD6jEPSnlYCHl39A2INOBCpJCQl86erMEEdU01RR0ifPjSQ-tkr-Txi33MBS6LdtTy2gOuiftYlO5kkUyjcx_8YWneuwU_P84oLCy3uPWLPzdr3AL7WucJO4a1PBBQRJcHwNULlyo5GjdmmfGnRSg6DmEZ1wgatpYt-3nrIOMt7Ja1lxJYr4RHMHijUCFy_WnO_gV1GsjqwhgX0FdiIAasM.Lpknd2GlHUJ5jj0po4Nryrf59aCwwqtMGH6WTBZtSZw%26dib_tag%3Dse%26keywords%3Dbedding%26pd_rd_r%3D87aac9cd-a5f0-4bfb-a6e4-9a4da9ff3166%26pd_rd_w%3DNw6WR%26pd_rd_wg%3DAzrBz%26pf_rd_p%3D83009b1f-702c-4be7-814b-0240b8f687d2%26pf_rd_r%3D4P9Y4JVM26R69CW85MJ1%26qid%3D1734449571%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1","TrurevieW","Unfortunately, I don't recommend these linen sheets given their roughness and pilling, and I say that having had many linen products and knowing what to expect from new linen.  I think shoppers would be better off spending $10-$20 more, which isn't much at this price range, for a set from brands like Land's End, Pottery Barn, or Quince.  Or spending 2x/3x on brands like Parachute or Brooklinen.  Or possibly forgoing linen sheets for a nice cotton percale set or viscose set.I've had other flax linen items, including clothing as well as bedding.  The duvet covers have ranged from higher-end brands like Parachute to lower-priced brands from Amazon and elsewhere. This linen was very rough and sandpapery out of the packaging.  And even after a thorough washing and drying (and the expected large amount of lint from washing linen items for the first time) this sheet set is still rough.  It also ended up with dozens of little pills all over after the first wash (not to be mistaken with the slubs, which are the little lumps that are natural to linen fabric).Most linen, even high-quality stuff, may start a little ""rough,"" but between how rough these sheets are even after washing AND the pilling, I think these may be lower-quaity linen instead of high-quality flax linen that the price would indicate.The weave is also interesting but doesn't have a nice feel. It looks and feels more like a paper towel than other linen items I have, which have a more visible close weave or plain weave.  It doesn't feel pleasant to my skin.I was looking for a set as an alternative to the viscose sheets I've been using in warm weather—something comfortable and a bit warmer but still breathable. I hoped these sheets, especially with a list price of $119.99 for a king set (at the time of writing), would be that set, but they are too rough for my taste.The sizing and color are accurate, and the stitching is done well.  Unfortunately, those ""pros"" (which meet my baseline expectations at this price) don't make up for the roughness and pilling.","Reviewed in the United States on November 7, 2024",NA
"https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo0NDYxNTQ5ODcyMTY3OTU4OjE3MzQ0NDk1NzE6c3BfYXRmOjMwMDQ2NTAwMDUzNzYwMjo6MDo6&url=%2F100-Pure-European-Linen-Sheet%2Fdp%2FB0D9L1JD18%2Fref%3Dsr_1_1_sspa%3F_encoding%3DUTF8%26content-id%3Damzn1.sym.83009b1f-702c-4be7-814b-0240b8f687d2%26dib%3DeyJ2IjoiMSJ9.syMLF-qdV3Kcl72cRgLPjrX6ctuQGN7y_fJZYl7GVbOdkZ3njvYqj8boeLUsbyIySdxaD7KXn3DpaoB2A-jsJD6jEPSnlYCHl39A2INOBCpJCQl86erMEEdU01RR0ifPjSQ-tkr-Txi33MBS6LdtTy2gOuiftYlO5kkUyjcx_8YWneuwU_P84oLCy3uPWLPzdr3AL7WucJO4a1PBBQRJcHwNULlyo5GjdmmfGnRSg6DmEZ1wgatpYt-3nrIOMt7Ja1lxJYr4RHMHijUCFy_WnO_gV1GsjqwhgX0FdiIAasM.Lpknd2GlHUJ5jj0po4Nryrf59aCwwqtMGH6WTBZtSZw%26dib_tag%3Dse%26keywords%3Dbedding%26pd_rd_r%3D87aac9cd-a5f0-4bfb-a6e4-9a4da9ff3166%26pd_rd_w%3DNw6WR%26pd_rd_wg%3DAzrBz%26pf_rd_p%3D83009b1f-702c-4be7-814b-0240b8f687d2%26pf_rd_r%3D4P9Y4JVM26R69CW85MJ1%26qid%3D1734449571%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1","TrurevieW","These linen sheets are an absolute dream! The 100% pure European flax linen feels luxurious and breathable, making them perfect for hot sleepers like me. The fabric has a beautiful, natural texture that gets softer with every wash, and the Cloud color is so serene and elegant—it complements any bedroom decor beautifully. It's one of those neutral colors that'll blend well with existing bedding and go with pretty much any decor.  The set includes everything you need: a fitted sheet, flat sheet, and two pillowcases, all expertly crafted and durable. The fitted sheet stays securely in place, even on deeper mattresses, and the overall quality is unmatched. I love how these sheets keep me cool in the summer and cozy in the winter—it’s like they adapt to the seasons! Highly, highly recommend!","Reviewed in the United States on November 16, 2024",NA
"https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo0NDYxNTQ5ODcyMTY3OTU4OjE3MzQ0NDk1NzE6c3BfYXRmOjMwMDQ2NTAwMDUzNzYwMjo6MDo6&url=%2F100-Pure-European-Linen-Sheet%2Fdp%2FB0D9L1JD18%2Fref%3Dsr_1_1_sspa%3F_encoding%3DUTF8%26content-id%3Damzn1.sym.83009b1f-702c-4be7-814b-0240b8f687d2%26dib%3DeyJ2IjoiMSJ9.syMLF-qdV3Kcl72cRgLPjrX6ctuQGN7y_fJZYl7GVbOdkZ3njvYqj8boeLUsbyIySdxaD7KXn3DpaoB2A-jsJD6jEPSnlYCHl39A2INOBCpJCQl86erMEEdU01RR0ifPjSQ-tkr-Txi33MBS6LdtTy2gOuiftYlO5kkUyjcx_8YWneuwU_P84oLCy3uPWLPzdr3AL7WucJO4a1PBBQRJcHwNULlyo5GjdmmfGnRSg6DmEZ1wgatpYt-3nrIOMt7Ja1lxJYr4RHMHijUCFy_WnO_gV1GsjqwhgX0FdiIAasM.Lpknd2GlHUJ5jj0po4Nryrf59aCwwqtMGH6WTBZtSZw%26dib_tag%3Dse%26keywords%3Dbedding%26pd_rd_r%3D87aac9cd-a5f0-4bfb-a6e4-9a4da9ff3166%26pd_rd_w%3DNw6WR%26pd_rd_wg%3DAzrBz%26pf_rd_p%3D83009b1f-702c-4be7-814b-0240b8f687d2%26pf_rd_r%3D4P9Y4JVM26R69CW85MJ1%26qid%3D1734449571%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1","SnarkBythePage","So these feel like linen,  there textured and not incredible soft I'm not sure what I was expecting.  The biggest plus for me is the all natural. Color is gorgeous.  Not sure about the hanging dry since I live in an apartment","Reviewed in the United States on November 19, 2024",NA
"https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo0NDYxNTQ5ODcyMTY3OTU4OjE3MzQ0NDk1NzE6c3BfYXRmOjMwMDQ2NTAwMDUzNzYwMjo6MDo6&url=%2F100-Pure-European-Linen-Sheet%2Fdp%2FB0D9L1JD18%2Fref%3Dsr_1_1_sspa%3F_encoding%3DUTF8%26content-id%3Damzn1.sym.83009b1f-702c-4be7-814b-0240b8f687d2%26dib%3DeyJ2IjoiMSJ9.syMLF-qdV3Kcl72cRgLPjrX6ctuQGN7y_fJZYl7GVbOdkZ3njvYqj8boeLUsbyIySdxaD7KXn3DpaoB2A-jsJD6jEPSnlYCHl39A2INOBCpJCQl86erMEEdU01RR0ifPjSQ-tkr-Txi33MBS6LdtTy2gOuiftYlO5kkUyjcx_8YWneuwU_P84oLCy3uPWLPzdr3AL7WucJO4a1PBBQRJcHwNULlyo5GjdmmfGnRSg6DmEZ1wgatpYt-3nrIOMt7Ja1lxJYr4RHMHijUCFy_WnO_gV1GsjqwhgX0FdiIAasM.Lpknd2GlHUJ5jj0po4Nryrf59aCwwqtMGH6WTBZtSZw%26dib_tag%3Dse%26keywords%3Dbedding%26pd_rd_r%3D87aac9cd-a5f0-4bfb-a6e4-9a4da9ff3166%26pd_rd_w%3DNw6WR%26pd_rd_wg%3DAzrBz%26pf_rd_p%3D83009b1f-702c-4be7-814b-0240b8f687d2%26pf_rd_r%3D4P9Y4JVM26R69CW85MJ1%26qid%3D1734449571%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1","Natasha",NA,NA,NA
"https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo0NDYxNTQ5ODcyMTY3OTU4OjE3MzQ0NDk1NzE6c3BfYXRmOjMwMDQ2NTAwMDUzNzYwMjo6MDo6&url=%2F100-Pure-European-Linen-Sheet%2Fdp%2FB0D9L1JD18%2Fref%3Dsr_1_1_sspa%3F_encoding%3DUTF8%26content-id%3Damzn1.sym.83009b1f-702c-4be7-814b-0240b8f687d2%26dib%3DeyJ2IjoiMSJ9.syMLF-qdV3Kcl72cRgLPjrX6ctuQGN7y_fJZYl7GVbOdkZ3njvYqj8boeLUsbyIySdxaD7KXn3DpaoB2A-jsJD6jEPSnlYCHl39A2INOBCpJCQl86erMEEdU01RR0ifPjSQ-tkr-Txi33MBS6LdtTy2gOuiftYlO5kkUyjcx_8YWneuwU_P84oLCy3uPWLPzdr3AL7WucJO4a1PBBQRJcHwNULlyo5GjdmmfGnRSg6DmEZ1wgatpYt-3nrIOMt7Ja1lxJYr4RHMHijUCFy_WnO_gV1GsjqwhgX0FdiIAasM.Lpknd2GlHUJ5jj0po4Nryrf59aCwwqtMGH6WTBZtSZw%26dib_tag%3Dse%26keywords%3Dbedding%26pd_rd_r%3D87aac9cd-a5f0-4bfb-a6e4-9a4da9ff3166%26pd_rd_w%3DNw6WR%26pd_rd_wg%3DAzrBz%26pf_rd_p%3D83009b1f-702c-4be7-814b-0240b8f687d2%26pf_rd_r%3D4P9Y4JVM26R69CW85MJ1%26qid%3D1734449571%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1","CityDad",NA,NA,NA
"https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo0NDYxNTQ5ODcyMTY3OTU4OjE3MzQ0NDk1NzE6c3BfYXRmOjMwMDQ2NTAwMDUzNzYwMjo6MDo6&url=%2F100-Pure-European-Linen-Sheet%2Fdp%2FB0D9L1JD18%2Fref%3Dsr_1_1_sspa%3F_encoding%3DUTF8%26content-id%3Damzn1.sym.83009b1f-702c-4be7-814b-0240b8f687d2%26dib%3DeyJ2IjoiMSJ9.syMLF-qdV3Kcl72cRgLPjrX6ctuQGN7y_fJZYl7GVbOdkZ3njvYqj8boeLUsbyIySdxaD7KXn3DpaoB2A-jsJD6jEPSnlYCHl39A2INOBCpJCQl86erMEEdU01RR0ifPjSQ-tkr-Txi33MBS6LdtTy2gOuiftYlO5kkUyjcx_8YWneuwU_P84oLCy3uPWLPzdr3AL7WucJO4a1PBBQRJcHwNULlyo5GjdmmfGnRSg6DmEZ1wgatpYt-3nrIOMt7Ja1lxJYr4RHMHijUCFy_WnO_gV1GsjqwhgX0FdiIAasM.Lpknd2GlHUJ5jj0po4Nryrf59aCwwqtMGH6WTBZtSZw%26dib_tag%3Dse%26keywords%3Dbedding%26pd_rd_r%3D87aac9cd-a5f0-4bfb-a6e4-9a4da9ff3166%26pd_rd_w%3DNw6WR%26pd_rd_wg%3DAzrBz%26pf_rd_p%3D83009b1f-702c-4be7-814b-0240b8f687d2%26pf_rd_r%3D4P9Y4JVM26R69CW85MJ1%26qid%3D1734449571%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1","CityDad",NA,NA,NA
"https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo0NDYxNTQ5ODcyMTY3OTU4OjE3MzQ0NDk1NzE6c3BfYXRmOjMwMDQ2NTAwMDUzNzYwMjo6MDo6&url=%2F100-Pure-European-Linen-Sheet%2Fdp%2FB0D9L1JD18%2Fref%3Dsr_1_1_sspa%3F_encoding%3DUTF8%26content-id%3Damzn1.sym.83009b1f-702c-4be7-814b-0240b8f687d2%26dib%3DeyJ2IjoiMSJ9.syMLF-qdV3Kcl72cRgLPjrX6ctuQGN7y_fJZYl7GVbOdkZ3njvYqj8boeLUsbyIySdxaD7KXn3DpaoB2A-jsJD6jEPSnlYCHl39A2INOBCpJCQl86erMEEdU01RR0ifPjSQ-tkr-Txi33MBS6LdtTy2gOuiftYlO5kkUyjcx_8YWneuwU_P84oLCy3uPWLPzdr3AL7WucJO4a1PBBQRJcHwNULlyo5GjdmmfGnRSg6DmEZ1wgatpYt-3nrIOMt7Ja1lxJYr4RHMHijUCFy_WnO_gV1GsjqwhgX0FdiIAasM.Lpknd2GlHUJ5jj0po4Nryrf59aCwwqtMGH6WTBZtSZw%26dib_tag%3Dse%26keywords%3Dbedding%26pd_rd_r%3D87aac9cd-a5f0-4bfb-a6e4-9a4da9ff3166%26pd_rd_w%3DNw6WR%26pd_rd_wg%3DAzrBz%26pf_rd_p%3D83009b1f-702c-4be7-814b-0240b8f687d2%26pf_rd_r%3D4P9Y4JVM26R69CW85MJ1%26qid%3D1734449571%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1","Adoration",NA,NA,NA
"https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo0NDYxNTQ5ODcyMTY3OTU4OjE3MzQ0NDk1NzE6c3BfYXRmOjMwMDQ2NTAwMDUzNzYwMjo6MDo6&url=%2F100-Pure-European-Linen-Sheet%2Fdp%2FB0D9L1JD18%2Fref%3Dsr_1_1_sspa%3F_encoding%3DUTF8%26content-id%3Damzn1.sym.83009b1f-702c-4be7-814b-0240b8f687d2%26dib%3DeyJ2IjoiMSJ9.syMLF-qdV3Kcl72cRgLPjrX6ctuQGN7y_fJZYl7GVbOdkZ3njvYqj8boeLUsbyIySdxaD7KXn3DpaoB2A-jsJD6jEPSnlYCHl39A2INOBCpJCQl86erMEEdU01RR0ifPjSQ-tkr-Txi33MBS6LdtTy2gOuiftYlO5kkUyjcx_8YWneuwU_P84oLCy3uPWLPzdr3AL7WucJO4a1PBBQRJcHwNULlyo5GjdmmfGnRSg6DmEZ1wgatpYt-3nrIOMt7Ja1lxJYr4RHMHijUCFy_WnO_gV1GsjqwhgX0FdiIAasM.Lpknd2GlHUJ5jj0po4Nryrf59aCwwqtMGH6WTBZtSZw%26dib_tag%3Dse%26keywords%3Dbedding%26pd_rd_r%3D87aac9cd-a5f0-4bfb-a6e4-9a4da9ff3166%26pd_rd_w%3DNw6WR%26pd_rd_wg%3DAzrBz%26pf_rd_p%3D83009b1f-702c-4be7-814b-0240b8f687d2%26pf_rd_r%3D4P9Y4JVM26R69CW85MJ1%26qid%3D1734449571%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1","Aliiiiiiiiiiiaaaaaaaaaaa",NA,NA,NA
"https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo0NDYxNTQ5ODcyMTY3OTU4OjE3MzQ0NDk1NzE6c3BfYXRmOjMwMDU2Nzg0NzYzMDkwMjo6MDo6&url=%2F100-Cotton-California-King-Sheet%2Fdp%2FB084WXDZK1%2Fref%3Dsr_1_2_sspa%3F_encoding%3DUTF8%26content-id%3Damzn1.sym.83009b1f-702c-4be7-814b-0240b8f687d2%26dib%3DeyJ2IjoiMSJ9.syMLF-qdV3Kcl72cRgLPjrX6ctuQGN7y_fJZYl7GVbOdkZ3njvYqj8boeLUsbyIySdxaD7KXn3DpaoB2A-jsJD6jEPSnlYCHl39A2INOBCpJCQl86erMEEdU01RR0ifPjSQ-tkr-Txi33MBS6LdtTy2gOuiftYlO5kkUyjcx_8YWneuwU_P84oLCy3uPWLPzdr3AL7WucJO4a1PBBQRJcHwNULlyo5GjdmmfGnRSg6DmEZ1wgatpYt-3nrIOMt7Ja1lxJYr4RHMHijUCFy_WnO_gV1GsjqwhgX0FdiIAasM.Lpknd2GlHUJ5jj0po4Nryrf59aCwwqtMGH6WTBZtSZw%26dib_tag%3Dse%26keywords%3Dbedding%26pd_rd_r%3D87aac9cd-a5f0-4bfb-a6e4-9a4da9ff3166%26pd_rd_w%3DNw6WR%26pd_rd_wg%3DAzrBz%26pf_rd_p%3D83009b1f-702c-4be7-814b-0240b8f687d2%26pf_rd_r%3D4P9Y4JVM26R69CW85MJ1%26qid%3D1734449571%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1","Thread Spread 800 Thread Count","They are at soft and silky, and they not too warm. The deep turquoise color is gorgeous and luxurious. It’s a bonus that cat hair does not seem to cling to them at all. They fit well on my 16” mattress.","Reviewed in the United States on November 13, 2024",NA
"https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo0NDYxNTQ5ODcyMTY3OTU4OjE3MzQ0NDk1NzE6c3BfYXRmOjMwMDU2Nzg0NzYzMDkwMjo6MDo6&url=%2F100-Cotton-California-King-Sheet%2Fdp%2FB084WXDZK1%2Fref%3Dsr_1_2_sspa%3F_encoding%3DUTF8%26content-id%3Damzn1.sym.83009b1f-702c-4be7-814b-0240b8f687d2%26dib%3DeyJ2IjoiMSJ9.syMLF-qdV3Kcl72cRgLPjrX6ctuQGN7y_fJZYl7GVbOdkZ3njvYqj8boeLUsbyIySdxaD7KXn3DpaoB2A-jsJD6jEPSnlYCHl39A2INOBCpJCQl86erMEEdU01RR0ifPjSQ-tkr-Txi33MBS6LdtTy2gOuiftYlO5kkUyjcx_8YWneuwU_P84oLCy3uPWLPzdr3AL7WucJO4a1PBBQRJcHwNULlyo5GjdmmfGnRSg6DmEZ1wgatpYt-3nrIOMt7Ja1lxJYr4RHMHijUCFy_WnO_gV1GsjqwhgX0FdiIAasM.Lpknd2GlHUJ5jj0po4Nryrf59aCwwqtMGH6WTBZtSZw%26dib_tag%3Dse%26keywords%3Dbedding%26pd_rd_r%3D87aac9cd-a5f0-4bfb-a6e4-9a4da9ff3166%26pd_rd_w%3DNw6WR%26pd_rd_wg%3DAzrBz%26pf_rd_p%3D83009b1f-702c-4be7-814b-0240b8f687d2%26pf_rd_r%3D4P9Y4JVM26R69CW85MJ1%26qid%3D1734449571%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1","Amazon Customer","I know everyone says they don't write reviews when the give a 5 star rating. Honestly, I rarely do but these sheets deserve accolades. So, I received my 800 count yesterday and couldn't wait to wash my new sheets and put them on my bed. I have a 3 inch mattress topper and often have a hard time getting the bottom fitted one to stay on. These sheets are so amazing and top quality. The bottom sheet has a super durable elastic band and enough fabric to cover the whole mattress and pad. These sheets are so thick and soft! I was so impressed that I ordered a second set this morning but decided to go up a notch to their 1,000 count! Woohoo!","Reviewed in the United States on October 17, 2024",NA
